Name;Description;Unit;Default;Minimum;Maximum;HV & Software;Basis Funktionen;Power Management;Startup;Operation low;Operation high;BZ Shutdown;Alarm
S83_en_p_p_minucell_range1_volt;;;;0;1;x;x;x;x;x;x;x;x
S83_en_p_p_minucell_range2_time;;;;0;1;x;x;x;x;x;x;x;x
S83_en_p_p_minucell_range2_volt;;;;0;1;x;x;x;x;x;x;x;x
S83_en_p_pc_uirangecell_time;;;;0;1;x;x;x;x;x;x;x;x
S83_en_p_pc_uirangecell_volt;;;;0;1;x;x;x;x;x;x;x;x
S83_en_p_power_out_fc_high;;;;0;1;x;x;x;x;x;x;x;x
S83_en_p_power_out_fc_low;;;;0;1;x;x;x;x;x;x;x;x
S83_en_p_pv_incrclstime;;;;0;1;x;x;x;x;x;x;x;x
S83_en_p_pv_iniopntime;;;;0;1;x;x;x;x;x;x;x;x
S83_en_p_pv_strtclstime;;;;0;1;x;x;x;x;x;x;x;x
S83_en_p_rfc_hghvent_fanspd;;;;0;1;x;x;x;x;x;x;x;x
S83_en_p_rfc_nrmopbaseval_fanspd;;;;0;1;x;x;x;x;x;x;x;x
S83_en_p_rfc_srtstpvent_fanspd;;;;0;1;x;x;x;x;x;x;x;x
S83_en_p_soc_limit_fc_high;;;;0;1;x;x;x;x;x;x;x;x
S83_en_p_soc_limit_fc_low;;;;0;1;x;x;x;x;x;x;x;x
S83_en_p_soc_limit_fc_off;;;;0;1;x;x;x;x;x;x;x;x
S83_en_p_spdn_batlimit_curr;;;;0;1;x;x;x;x;x;x;x;x
S83_en_p_spdn_batlimit_time;;;;0;1;x;x;x;x;x;x;x;x
S83_en_p_tc_clpmpspd_idx0;;;;0;1;x;x;x;x;x;x;x;x
S83_en_p_tc_clpmpspd_idx1;;;;0;1;x;x;x;x;x;x;x;x
S83_en_p_tc_clpmpspd_idx2;;;;0;1;x;x;x;x;x;x;x;x
S83_en_P_TC_GHU_maxlowpress;;;;0;1;x;x;x;x;x;x;x;x
S83_en_P_TC_GHU_maxmidpress;;;;0;1;x;x;x;x;x;x;x;x
S83_en_P_TC_OTV_maxtankpress;;;;0;1;x;x;x;x;x;x;x;x
S83_en_p_wtlc_soc_lvl_perc;;;;0;1;x;x;x;x;x;x;x;x
S83_en_p_wtlc_soc_time2off_sec;;;;0;1;x;x;x;x;x;x;x;x
S83_P_CLDN_AMBlimit_Temp;;°C;;-40;215;x;x;x;x;x;x;x;x
S83_P_CLDN_AMBlimitOff_Temp;;°C;;-40;215;x;x;x;x;x;x;x;x
S83_P_CLDN_CP_Spd;;%;;0;100;x;x;x;x;x;x;x;x
S83_P_CLDN_RF_Spd;;%;;0;100;x;x;x;x;x;x;x;x
S83_P_CLDN_RF_Time;;s;;0;6553.5;x;x;x;x;x;x;x;x
S83_P_CLDN_SOClimit;;%;;0;100;x;x;x;x;x;x;x;x
S83_P_CLDN_time2off;;s;;0;6553.5;x;x;x;x;x;x;x;x
S83_P_CVM_Diff_MaxMin_Lim;;V;;0;4.095;x;x;x;x;x;x;x;x
S83_P_CVM_Frequency;;Hz;;0;255;x;x;x;x;x;x;x;x
S83_P_CVM_Low_Lim2;;V;;0;4.095;x;x;x;x;x;x;x;x
S83_P_CVM_Temperature;;°C;;0;255;x;x;x;x;x;x;x;x
S83_P_CVM_Up_Lim1;;V;;0;4.095;x;x;x;x;x;x;x;x
S83_P_CVM_Up_Lim2;;V;;0;4.095;x;x;x;x;x;x;x;x
S83_P_FCA_ETC_Preset_Gradient;;rpm/s;;0;65535;x;x;x;x;x;x;x;x
S83_P_FCA_Press_D_Ctrl;;;;0;4.294.967.295;x;x;x;x;x;x;x;x
S83_P_FCA_Press_I_Ctrl;;;;0;4.294.967.295;x;x;x;x;x;x;x;x
S83_P_FCA_Press_P_Ctrl;;;;0;4.294.967.295;x;x;x;x;x;x;x;x
S83_P_FCA_Speed_D_Ctrl;;;;0;4.294.967.295;x;x;x;x;x;x;x;x
S83_P_FCA_Speed_I_Ctrl;;;;0;4.294.967.295;x;x;x;x;x;x;x;x
S83_P_FCA_Speed_P_Ctrl;;;;0;4.294.967.295;x;x;x;x;x;x;x;x
S83_P_FCDU_STK_Curr_Ramp_Time;;s;;0;255;x;x;x;x;x;x;x;x
S83_P_FCSD_dv_IncrClsTime;;s;;0;25.5;x;x;x;x;x;x;x;x
S83_P_FCSD_dv_IniOpnTime;;s;;0;25.5;x;x;x;x;x;x;x;x
S83_P_FCSD_dv_StrtClsTime;;s;;0;25.5;x;x;x;x;x;x;x;x
S83_P_FCSD_ETC_InitRng_Spd;;rpm;;0;16777215;x;x;x;x;x;x;x;x
S83_P_FCSD_H2end_Press;;kPa;;0;400;x;x;x;x;x;x;x;x
S83_P_FCSD_HRBstp_Spd;;rpm;;0;25000;x;x;x;x;x;x;x;x
S83_P_FCSD_pv_IncrClsTime;;s;;0;25.5;x;x;x;x;x;x;x;x
S83_P_FCSD_pv_IniOpnTime;;s;;0;25.5;x;x;x;x;x;x;x;x
S83_P_FCSD_pv_StrtClsTime;;s;;0;25.5;x;x;x;x;x;x;x;x
S83_P_FCSU_BPV_OpnCls_Time;;s;;0;25.5;x;x;x;x;x;x;x;x
S83_P_FCSU_DCDC_CurrRampGrad;;A/s;;0;25.5;x;x;x;x;x;x;x;x
S83_P_FCSU_DCDC_MaxWrmUp_Curr;;A;;0;6553.5;x;x;x;x;x;x;x;x
S83_P_FCSU_DCDC_OpTime;;s;;0;25.5;x;x;x;x;x;x;x;x
S83_P_FCSU_DCDC_PreOpTime;;s;;0;25.5;x;x;x;x;x;x;x;x
S83_P_FCSU_ETC_InitSpd;;rpm;;0;1048575;x;x;x;x;x;x;x;x
S83_P_FCSU_GHU_StrtPress1;;kPa;;0;2500;x;x;x;x;x;x;x;x
S83_P_FCSU_GHU_StrtPress2;;kPa;;0;255;x;x;x;x;x;x;x;x
S83_P_FCSU_H2_InitPress;;kPa;;0;255;x;x;x;x;x;x;x;x
S83_P_FCSU_H2_Press_I_Ctrl;;;;0;4.294.967.295;x;x;x;x;x;x;x;x
S83_P_FCSU_H2_Press_P_Ctrl;;;;0;4.294.967.295;x;x;x;x;x;x;x;x
S83_P_FCSU_H2_StrtPress;;kPa;;0;255;x;x;x;x;x;x;x;x
S83_P_FCSU_HRB_StrtSpd;;rpm;;0;25000;x;x;x;x;x;x;x;x
S83_P_FCSU_InitMinCellVolt;;V;;0;65.535;x;x;x;x;x;x;x;x
S83_P_FCSU_MinCellVolt_Time;;s;;0;6553.5;x;x;x;x;x;x;x;x
S83_P_FCSU_PVrmp_IncrClsTime;;s;;0;25.5;x;x;x;x;x;x;x;x
S83_P_FCSU_PVrmp_IniOpnTime;;s;;0;25.5;x;x;x;x;x;x;x;x
S83_P_FCSU_PVrmp_StrtClsTime;;s;;0;25.5;x;x;x;x;x;x;x;x
S83_P_FCSU_STK_DeltaMedLow_V;;V;;0;65.535;x;x;x;x;x;x;x;x
S83_P_FCSU_STK_LowCellVolt;;V;;0;65.535;x;x;x;x;x;x;x;x
S83_P_FCSU_STK_NormOpSet_Temp;;°C;;-40;215;x;x;x;x;x;x;x;x
S83_P_HMI_BAT_SOC_Limit_low;;%;;0;100;x;x;x;x;x;x;x;x
S83_P_HMI_BAT_SOC_Limit_ok;;%;;0;100;x;x;x;x;x;x;x;x
S83_P_HMI_H2_leak_amb_ppm;;ppm;;-5000;123000;x;x;x;x;x;x;x;x
S83_P_HMI_H2_leak_exh_ppm;;ppm;;-5000;123000;x;x;x;x;x;x;x;x
S83_P_HMI_H2_leak_exh_s;;s;;0;25.5;x;x;x;x;x;x;x;x
S83_P_HMI_H2TankLvl_Displ;;%;;0;100;x;x;x;x;x;x;x;x
S83_P_HMI_H2TankLvl_PressLim;;kPa;;0;100000;x;x;x;x;x;x;x;x
S83_P_HMI_H2TankLvl_Scale0;;kPa;;0;100000;x;x;x;x;x;x;x;x
S83_P_HMI_H2TankLvl_Scale1;;kPa;;0;100000;x;x;x;x;x;x;x;x
S83_P_HRBo_a_Valve_Async_fact;;;;0;1;x;x;x;x;x;x;x;x
S83_P_HRBo_a_Valve_I_fact;;;;0;10;x;x;x;x;x;x;x;x
S83_P_HRBo_a_Valve_OT_fact;;;;0;10;x;x;x;x;x;x;x;x
S83_P_PC_MinUCell_range1_Time;;s;;0;25.5;x;x;x;x;x;x;x;x
S83_P_PC_MinUCell_range1_Volt;;V;;0;65.535;x;x;x;x;x;x;x;x
S83_P_PC_MinUCell_range2_Time;;s;;0;25.5;x;x;x;x;x;x;x;x
S83_P_PC_MinUCell_range2_Volt;;V;;0;65.535;x;x;x;x;x;x;x;x
S83_P_PC_UIrangeCell_Time;;s;;0;25.5;x;x;x;x;x;x;x;x
S83_P_PC_UIrangeCell_Volt;;V;;0;65.535;x;x;x;x;x;x;x;x
S83_P_Power_Out_FC_High;;A;;0;255;x;x;x;x;x;x;x;x
S83_P_Power_Out_FC_Low;;A;;0;255;x;x;x;x;x;x;x;x
S83_P_RFC_HghVent_FanSpd;;%;;0;100;x;x;x;x;x;x;x;x
S83_P_RFC_NrmOpBaseVal_FanSpd;;%;;0;100;x;x;x;x;x;x;x;x
S83_P_RFC_SrtStpVent_FanSpd;;%;;0;100;x;x;x;x;x;x;x;x
S83_P_SOC_Limit_FC_High;;%;;0;100;x;x;x;x;x;x;x;x
S83_P_SOC_Limit_FC_Low;;%;;0;100;x;x;x;x;x;x;x;x
S83_P_SOC_Limit_FC_Off;;%;;0;100;x;x;x;x;x;x;x;x
S83_P_SPDN_BATlimit_Curr;;A;;-3276.8;3276.7;x;x;x;x;x;x;x;x
S83_P_SPDN_BATlimit_Time;;s;;0;6553.5;x;x;x;x;x;x;x;x
S83_P_TC_ClPmpSpd_Amp0;;A;;0;511;x;x;x;x;x;x;x;x
S83_P_TC_ClPmpSpd_Amp1;;A;;0;511;x;x;x;x;x;x;x;x
S83_P_TC_ClPmpSpd_Amp2;;A;;0;511;x;x;x;x;x;x;x;x
S83_P_TC_ClPmpSpd_perc0;;%;;0;100;x;x;x;x;x;x;x;x
S83_P_TC_ClPmpSpd_perc1;;%;;0;100;x;x;x;x;x;x;x;x
S83_P_TC_ClPmpSpd_perc2;;%;;0;100;x;x;x;x;x;x;x;x
S83_P_TC_GHU_MaxLowPress;;kPa;;0;4100;x;x;x;x;x;x;x;x
S83_P_TC_GHU_MaxMidPress;;kPa;;0;2500;x;x;x;x;x;x;x;x
S83_P_TC_OTV_MaxTankPress;;kPa;;0;100000;x;x;x;x;x;x;x;x
S83_P_TC_StkIntT_I_Crtl_FanSpd;;;;0;4.294.967.295;x;x;x;x;x;x;x;x
S83_P_TC_StkIntT_P_Crtl_FanSpd;;;;0;4.294.967.295;x;x;x;x;x;x;x;x
S83_P_WTLC_SOC_Lvl;;%;;0;100;x;x;x;x;x;x;x;x
S83_P_WTLC_SOC_time2off;;s;;0;6553.5;x;x;x;x;x;x;x;x
S91_en_p_dv_incrclstime;;;;0;1;x;x;x;x;x;x;x;x
S91_en_p_dv_iniopntime;;;;0;1;x;x;x;x;x;x;x;x
S91_en_p_dv_strtclstime;;;;0;1;x;x;x;x;x;x;x;x
S91_en_p_fca_etc_preset_gradient;;;;0;1;x;x;x;x;x;x;x;x
S91_en_p_fcdu_stk_curr_ramp_time;;;;0;1;x;x;x;x;x;x;x;x
S91_en_p_pv_incrclstime;;;;0;1;x;x;x;x;x;x;x;x
S91_en_p_pv_iniopntime;;;;0;1;x;x;x;x;x;x;x;x
S91_en_p_pv_strtclstime;;;;0;1;x;x;x;x;x;x;x;x
S91_LV_Testmode;;;;0;4;x;x;x;x;x;x;x;x
S91_P_CLDN_AMBlimit_Temp;;°C;;-40;215;x;x;x;x;x;x;x;x
S91_P_CLDN_AMBlimitOff_Temp;;°C;;-40;215;x;x;x;x;x;x;x;x
S91_P_CLDN_CP_Spd;;%;;0;100;x;x;x;x;x;x;x;x
S91_P_CLDN_RF_Spd;;%;;0;100;x;x;x;x;x;x;x;x
S91_P_CLDN_RF_Time;;s;;0;6553.5;x;x;x;x;x;x;x;x
S91_P_CLDN_SOClimit;;%;;0;100;x;x;x;x;x;x;x;x
S91_P_CLDN_time2off;;s;;0;6553.5;x;x;x;x;x;x;x;x
S91_P_CVM_Diff_MaxMin_Lim;;V;;0;4.095;x;x;x;x;x;x;x;x
S91_P_CVM_Frequency;;Hz;;0;255;x;x;x;x;x;x;x;x
S91_P_CVM_Low_Lim2;;V;;0;4.095;x;x;x;x;x;x;x;x
S91_P_CVM_Temperature;;°C;;0;255;x;x;x;x;x;x;x;x
S91_P_CVM_Up_Lim1;;V;;0;4.095;x;x;x;x;x;x;x;x
S91_P_CVM_Up_Lim2;;V;;0;4.095;x;x;x;x;x;x;x;x
S91_P_FCA_ETC_Preset_Gradient;;rpm/s;;0;65535;x;x;x;x;x;x;x;x
S91_P_FCA_Press_D_Ctrl;;;;0;4.294.967.295;x;x;x;x;x;x;x;x
S91_P_FCA_Press_I_Ctrl;;;;0;4.294.967.295;x;x;x;x;x;x;x;x
S91_P_FCA_Press_P_Ctrl;;;;0;4.294.967.295;x;x;x;x;x;x;x;x
S91_P_FCA_Speed_D_Ctrl;;;;0;4.294.967.295;x;x;x;x;x;x;x;x
S91_P_FCA_Speed_I_Ctrl;;;;0;4.294.967.295;x;x;x;x;x;x;x;x
S91_P_FCA_Speed_P_Ctrl;;;;0;4.294.967.295;x;x;x;x;x;x;x;x
S91_P_FCDU_STK_Curr_Ramp_Time;;s;;0;255;x;x;x;x;x;x;x;x
S91_P_FCSD_dv_IncrClsTime;;s;;0;25.5;x;x;x;x;x;x;x;x
S91_P_FCSD_dv_IniOpnTime;;s;;0;25.5;x;x;x;x;x;x;x;x
S91_P_FCSD_dv_StrtClsTime;;s;;0;25.5;x;x;x;x;x;x;x;x
S91_P_FCSD_ETC_InitRng_Spd;;rpm;;0;16777215;x;x;x;x;x;x;x;x
S91_P_FCSD_H2end_Press;;kPa;;0;400;x;x;x;x;x;x;x;x
S91_P_FCSD_HRBstp_Spd;;rpm;;0;25000;x;x;x;x;x;x;x;x
S91_P_FCSD_pv_IncrClsTime;;s;;0;25.5;x;x;x;x;x;x;x;x
S91_P_FCSD_pv_IniOpnTime;;s;;0;25.5;x;x;x;x;x;x;x;x
S91_P_FCSD_pv_StrtClsTime;;s;;0;25.5;x;x;x;x;x;x;x;x
S91_P_FCSU_BPV_OpnCls_Time;;s;;0;25.5;x;x;x;x;x;x;x;x
S91_P_FCSU_DCDC_CurrRampGrad;;A/s;;0;25.5;x;x;x;x;x;x;x;x
S91_P_FCSU_DCDC_MaxWrmUp_Curr;;A;;0;6553.5;x;x;x;x;x;x;x;x
S91_P_FCSU_DCDC_OpTime;;s;;0;25.5;x;x;x;x;x;x;x;x
S91_P_FCSU_DCDC_PreOpTime;;s;;0;25.5;x;x;x;x;x;x;x;x
S91_P_FCSU_ETC_InitSpd;;rpm;;0;1048575;x;x;x;x;x;x;x;x
S91_P_FCSU_GHU_StrtPress1;;kPa;;0;2500;x;x;x;x;x;x;x;x
S91_P_FCSU_GHU_StrtPress2;;kPa;;0;255;x;x;x;x;x;x;x;x
S91_P_FCSU_H2_InitPress;;kPa;;0;255;x;x;x;x;x;x;x;x
S91_P_FCSU_H2_Press_I_Ctrl;;;;0;4.294.967.295;x;x;x;x;x;x;x;x
S91_P_FCSU_H2_Press_P_Ctrl;;;;0;4.294.967.295;x;x;x;x;x;x;x;x
S91_P_FCSU_H2_StrtPress;;kPa;;0;255;x;x;x;x;x;x;x;x
S91_P_FCSU_HRB_StrtSpd;;rpm;;0;25000;x;x;x;x;x;x;x;x
S91_P_FCSU_InitMinCellVolt;;V;;0;65.535;x;x;x;x;x;x;x;x
S91_P_FCSU_MinCellVolt_Time;;s;;0;6553.5;x;x;x;x;x;x;x;x
S91_P_FCSU_PVrmp_IncrClsTime;;s;;0;25.5;x;x;x;x;x;x;x;x
S91_P_FCSU_PVrmp_IniOpnTime;;s;;0;25.5;x;x;x;x;x;x;x;x
S91_P_FCSU_PVrmp_StrtClsTime;;s;;0;25.5;x;x;x;x;x;x;x;x
S91_P_FCSU_STK_DeltaMedLow_V;;V;;0;65.535;x;x;x;x;x;x;x;x
S91_P_FCSU_STK_LowCellVolt;;V;;0;65.535;x;x;x;x;x;x;x;x
S91_P_FCSU_STK_NormOpSet_Temp;;°C;;-40;215;x;x;x;x;x;x;x;x
S91_P_HMI_BAT_SOC_Limit_low;;%;;0;100;x;x;x;x;x;x;x;x
S91_P_HMI_BAT_SOC_Limit_ok;;%;;0;100;x;x;x;x;x;x;x;x
S91_P_HMI_H2_leak_amb_ppm;;ppm;;-5000;123000;x;x;x;x;x;x;x;x
S91_P_HMI_H2_leak_exh_ppm;;ppm;;-5000;123000;x;x;x;x;x;x;x;x
S91_P_HMI_H2_leak_exh_s;;s;;0;25.5;x;x;x;x;x;x;x;x
S91_P_HMI_H2TankLvl_Displ;;%;;0;100;x;x;x;x;x;x;x;x
S91_P_HMI_H2TankLvl_PressLim;;kPa;;0;100000;x;x;x;x;x;x;x;x
S91_P_HMI_H2TankLvl_Scale0;;kPa;;0;100000;x;x;x;x;x;x;x;x
S91_P_HMI_H2TankLvl_Scale1;;kPa;;0;100000;x;x;x;x;x;x;x;x
S91_P_HRBo_a_Valve_Async_fact;;;;0;1;x;x;x;x;x;x;x;x
S91_P_HRBo_a_Valve_I_fact;;;;0;10;x;x;x;x;x;x;x;x
S91_P_HRBo_a_Valve_OT_fact;;;;0;10;x;x;x;x;x;x;x;x
S91_P_PC_MinUCell_range1_Time;;s;;0;25.5;x;x;x;x;x;x;x;x
S91_P_PC_MinUCell_range1_Volt;;V;;0;65.535;x;x;x;x;x;x;x;x
S91_P_PC_MinUCell_range2_Time;;s;;0;25.5;x;x;x;x;x;x;x;x
S91_P_PC_MinUCell_range2_Volt;;V;;0;65.535;x;x;x;x;x;x;x;x
S91_P_PC_UIrangeCell_Time;;s;;0;25.5;x;x;x;x;x;x;x;x
S91_P_PC_UIrangeCell_Volt;;V;;0;65.535;x;x;x;x;x;x;x;x
S91_P_Power_Out_FC_High;;A;;0;255;x;x;x;x;x;x;x;x
S91_P_Power_Out_FC_Low;;A;;0;255;x;x;x;x;x;x;x;x
S91_P_RFC_HghVent_FanSpd;;%;;0;100;x;x;x;x;x;x;x;x
S91_P_RFC_NrmOpBaseVal_FanSpd;;%;;0;100;x;x;x;x;x;x;x;x
S91_P_RFC_SrtStpVent_FanSpd;;%;;0;100;x;x;x;x;x;x;x;x
S91_P_SOC_Limit_FC_High;;%;;0;100;x;x;x;x;x;x;x;x
S91_P_SOC_Limit_FC_Low;;%;;0;100;x;x;x;x;x;x;x;x
S91_P_SOC_Limit_FC_Off;;%;;0;100;x;x;x;x;x;x;x;x
S91_P_SPDN_BATlimit_Curr;;A;;-3276.8;3276.7;x;x;x;x;x;x;x;x
S91_P_SPDN_BATlimit_Time;;s;;0;6553.5;x;x;x;x;x;x;x;x
S91_P_TC_ClPmpSpd_Amp0;;A;;0;511;x;x;x;x;x;x;x;x
S91_P_TC_ClPmpSpd_Amp1;;A;;0;511;x;x;x;x;x;x;x;x
S91_P_TC_ClPmpSpd_Amp2;;A;;0;511;x;x;x;x;x;x;x;x
S91_P_TC_ClPmpSpd_perc0;;%;;0;100;x;x;x;x;x;x;x;x
S91_P_TC_ClPmpSpd_perc1;;%;;0;100;x;x;x;x;x;x;x;x
S91_P_TC_ClPmpSpd_perc2;;%;;0;100;x;x;x;x;x;x;x;x
S91_P_TC_GHU_MaxLowPress;;kPa;;0;4100;x;x;x;x;x;x;x;x
S91_P_TC_GHU_MaxMidPress;;kPa;;0;2500;x;x;x;x;x;x;x;x
S91_P_TC_OTV_MaxTankPress;;kPa;;0;100000;x;x;x;x;x;x;x;x
S91_P_TC_StkIntT_I_Crtl_FanSpd;;;;0;4.294.967.295;x;x;x;x;x;x;x;x
S91_P_TC_StkIntT_P_Crtl_FanSpd;;;;0;4.294.967.295;x;x;x;x;x;x;x;x
S91_P_WTLC_SOC_Lvl;;%;;0;100;x;x;x;x;x;x;x;x
S91_P_WTLC_SOC_time2off;;s;;0;6553.5;x;x;x;x;x;x;x;x
S80_BP_s_Taster_Start_Status;;;;0;1;x;x;x;x;x;x;x;x
S80_BP_s_Taster_Stop_Status;;;;0;1;x;x;x;x;x;x;x;x
